,TYPE,'(',')','{','}',WHILE,IF,ELSE,';','=',PRINT1,SCAN1,ID,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',DIGIT,FLOAT,$,startSym',startSym,funcs,func,program,construct,block,stmts,stmt,string,dec,bool,expr,text,number
0,s7,s19, ,s12, ,s9,s10, ,s13, ,s17,s18,s21, , , , , , , , , , , , ,s22,s23, , ,1,2,4,3,5,8,6,11, ,15, ,14,16,20
1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , 
2,s25, , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , ,24, , , , , , , , , , , 
3, , , ,s12, ,s9,s10, , , , , , , , , , , , , , , , , , , , ,r2, , , , , ,26,8, , , , , , , , 
4,r4, , , , , , , , , , , , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , 
5,r23,r23, ,r7,r7,r7,r7, ,r23, ,r23,r23,r23, , , , , , , , , , , , ,r23,r23,r7, , , , , , , , , , , , , , , 
6,s29,s19, ,s1,r8,s9 ,s10, ,s13, ,s17,s18,s21, , , , , , , , , , , , ,s22,s23,r8, , , , , ,28,8, ,27, ,15, ,14,16,20
7, , , , , , , , , , , , ,s21, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, 
8,r9,r9, ,r9,r9,r9,r9, ,r9, ,r9,r9,r9, , , , , , , , , , , , ,r9,r9,r9, , , , , , , , , , , , , , , 
9, ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,r14,r14, ,r14,r14,r14,r14, ,r14, ,r14,r14,r14, , , , , , , , , , , , ,r14,r14,r14, , , , , , , , , , , , , , , 
12,s29,s19, ,s12, ,s9,s10, ,s13, ,s17,s18,s21, , , , , , , , , , , , ,s22,s23, , , , , , ,28,8,33,11, ,15, ,14,16,20
13,r16,r16, ,r16,r16,r16,r16, ,r16, ,r16,r16,r16, , , , , , , , , , , , ,r16,r16,r16, , , , , , , , , , , , , , , 
14, , , , , , , , ,s34, , , , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , , 
15, , , , , , , , ,s41,s42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , , , , , , ,r41,s43, , , , , , , , , ,r41,r41,r41,r41,r41,r41, , , , , , , , , , , , , , , , , , 
17, ,s44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, ,s45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, ,s19, , , , , , , , , , ,s21, , , , , , , , , , , , ,s22,s23, , , , , , , , , , , , , ,46,47,20
20, , ,r42, , , , , ,r42, , , , ,r42,r42,r42, , , ,r42,r42,r42,r42,r42,r42, , , , , , , , , , , , , , , , , , 
21, ,r43,r43, , , , , ,r43,r43, , , ,r43,r43,r43, , , ,r43,r43,r43,r43,r43,r43, , , , , , , , , , , , , , , , , , 
