,TYPE,'(',')','{','}',WHILE,IF,ELSE,error,'\n',';','=',expr;,REL_OPT,OR,AND,NOT,TRUE,FALSE,'^','*','/','%','+','-',ID,DIGIT,FLOAT,$,startSym,funcs,func,program,construct,block,stmts,stmt,dec,bool,expr,text,number
0,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, , , , , , , , , , 
1,s3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , ,4, , , , , , , , , , 
2,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , , , , , , , , , , , ,s6, , , , , , , , , , , , , , ,5, 
4,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , 
5, ,s7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, ,r38,r38, , , , , , , ,r38,r38, ,r38,r38,r38, , , ,r38,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , , 
7, , ,s8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,s24,s22, ,s17, ,s14,s15, , , ,s18, , , , , , , , , , , , , , ,s6,s25,s26, , , , ,10,11,13,12,16,20, ,19,21,23
10, , , ,s17,s27,s14,s15, , , , , , , , , , , , , , , , , , , , , , , , , , ,28,13, , , , , , , 
11, , , ,r6,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,s24,s22, ,r7,r7,r7,r7, , , ,s18, , , , , , , , , , , , , , ,s6,s25,s26, , , , , , , , ,29,20, ,19,21,23
13, , , ,r8,r8,r8,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,r13,r13, ,r13,r13,r13,r13, ,s32, ,r13, , , , , , , , , , , , , , ,r13,r13,r13, , , , , , , , , , , , , , 
17,s24,s22, , , , , , , , ,s18, , , , , , , , , , , , , , ,s6,s25,s26, , , , , , , ,33,16,20, ,19,21,23
18,r16,r16, ,r16,r16,r16,r16, ,r16, ,r16, , , , , , , , , , , , , , ,r16,r16,r16, , , , , , , , , , , , , , 
19, , , , , , , , , , ,s34, , , , , , , , ,s35,s36,s37,s38,s39,s40, , , , , , , , , , , , , , , , , 
20, , , , , , , , , , ,s41,s42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , , , , , , , ,r36,s43, , , , , , , ,r36,r36,r36,r36,r36,r36, , , , , , , , , , , , , , , , , 
22, ,s22, , , , , , , , , , , , , , , , , , , , , , , ,s6,s25,s26, , , , , , , , , , , ,44,45,23
23, , ,r37, , , , , , , ,r37, , ,r37,r37,r37, , , ,r37,r37,r37,r37,r37,r37, , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , , , , , , , , , , , , ,s6, , , , , , , , , , , , , , ,46, 
